epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
34,6510.14,1.01544,1.28703,0.94714,0.00625,0.63973,0.68858,0.66076,0.70371,0.49838,0.68836,0.66439,0.70192,0.49767,0.90166,1.00381,0.81412,0.0092,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6696.84,1.00203,1.27185,0.91915,0.00615,0.62637,0.715,0.70073,0.71798,0.51217,0.71328,0.6936,0.7127,0.50769,0.90352,1.00652,0.81672,0.00922,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6887.17,1.00494,1.25506,0.91791,0.00615,0.62574,0.7154,0.71696,0.72968,0.52502,0.71834,0.72144,0.73344,0.52019,0.89274,0.9987,0.73258,0.00918,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7074.38,0.99839,1.24733,0.92337,0.00611,0.62497,0.74637,0.66858,0.72872,0.52726,0.7532,0.67522,0.73678,0.52305,0.87515,0.97321,0.78417,0.00884,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7264.84,0.99183,1.24363,0.89909,0.00605,0.59646,0.7352,0.66977,0.71741,0.51308,0.73902,0.6711,0.71977,0.51298,0.87494,0.99117,0.79096,0.00881,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7451.23,0.98515,1.22749,0.89947,0.00606,0.60554,0.7277,0.71592,0.73938,0.52653,0.72409,0.71506,0.74104,0.51945,0.87789,0.98771,0.71751,0.00886,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7642.1,0.98496,1.23684,0.89523,0.006,0.60767,0.7358,0.68378,0.72203,0.52279,0.7275,0.68145,0.71996,0.51875,0.8879,0.99422,0.78017,0.00904,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7831.62,0.98552,1.23741,0.8918,0.00599,0.60491,0.73322,0.69319,0.72148,0.51898,0.73532,0.69265,0.72509,0.5167,0.89125,0.9983,0.81047,0.00915,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8022.98,0.98721,1.23717,0.88969,0.00598,0.60204,0.7478,0.66749,0.72112,0.5204,0.74929,0.66309,0.72135,0.51448,0.89233,0.99804,0.78575,0.00909,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8209.08,0.97563,1.22295,0.88142,0.00592,0.593,0.7413,0.68463,0.72787,0.52601,0.74296,0.68918,0.73263,0.51982,0.87642,0.99206,0.7784,0.00889,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8399.57,0.98223,1.2319,0.88312,0.00597,0.60196,0.72525,0.68434,0.71505,0.51034,0.729,0.67402,0.71798,0.50841,0.88333,0.98842,0.80127,0.00897,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8586.69,0.96271,1.20383,0.85702,0.0058,0.57884,0.72019,0.68172,0.71918,0.51311,0.72353,0.68593,0.72296,0.51169,0.88167,0.98701,0.80583,0.00899,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8776.84,0.96841,1.21607,0.8706,0.00588,0.5886,0.7095,0.69052,0.71776,0.50729,0.71683,0.69726,0.7221,0.50718,0.9006,1.00397,0.79086,0.00913,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8966.61,0.97315,1.21463,0.86237,0.00591,0.58836,0.74035,0.68449,0.72909,0.516,0.74489,0.68922,0.73207,0.51056,0.88975,0.986,0.80033,0.00904,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9158.97,0.96232,1.20359,0.85739,0.00581,0.56882,0.7529,0.68261,0.73317,0.52052,0.74758,0.68637,0.73479,0.51593,0.87494,0.98483,0.78606,0.00889,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9345.24,0.96321,1.21697,0.85239,0.00582,0.58029,0.72313,0.71487,0.74198,0.53102,0.74132,0.70081,0.7402,0.52269,0.86713,0.97511,0.75393,0.00884,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9533.36,0.95955,1.20557,0.8555,0.00571,0.56988,0.72288,0.73049,0.74673,0.53588,0.7239,0.73254,0.74716,0.52672,0.85765,0.97846,0.73275,0.00873,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9722.5,0.95938,1.20057,0.84518,0.00573,0.57426,0.74002,0.72646,0.75943,0.54205,0.74953,0.71643,0.75588,0.53191,0.86113,0.96983,0.72569,0.00874,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9910.49,0.95326,1.19586,0.84242,0.00573,0.56202,0.75189,0.73578,0.75932,0.54762,0.73919,0.71803,0.75366,0.53782,0.85136,0.96611,0.71651,0.00865,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10100.4,0.95172,1.18995,0.8276,0.00567,0.56476,0.76014,0.72293,0.75702,0.54531,0.76486,0.70088,0.75178,0.53599,0.85024,0.97286,0.72336,0.00858,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10288.4,0.9403,1.1742,0.81244,0.00563,0.55075,0.75529,0.72709,0.75831,0.54788,0.75009,0.72489,0.75496,0.53781,0.84786,0.96955,0.71503,0.00855,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10480.6,0.94263,1.1851,0.82919,0.00565,0.55564,0.75142,0.73469,0.7618,0.54861,0.74951,0.73189,0.75767,0.53768,0.85422,0.97826,0.71934,0.00864,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
